[2021-04-08T22:20:10.061557+03:00] Product.WARNING: {"id":3,"name":"Coca-Cola","category":"\u041d\u0430\u043f\u0438\u0442\u043a\u0438","brand":"Coca-Cola","main_img":null,"mass_img":null,"short_description":null,"full_description":null,"price":"15.00","amount":170,"created_at":"2021-01-03 20:56:01","updated_at":"2021-01-03 21:20:36"} [] []
[2021-04-20T14:08:00.939080+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T14:33:13.912523+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T14:40:00.221922+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T14:40:04.554225+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T14:49:34.420972+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T14:56:59.735846+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T14:57:01.467830+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T14:59:12.257141+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T18:35:14.074973+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T18:38:45.120662+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T18:40:50.314836+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T18:41:25.640267+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T18:42:10.198045+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T18:58:26.944129+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T18:59:11.344939+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T18:59:58.850018+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T19:01:30.453758+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T19:03:10.222523+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T19:22:16.327298+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T19:48:24.619482+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-20T20:36:16.354052+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
[2021-04-21T21:43:33.037477+03:00] Product.WARNING: {"id":1,"name":null,"category":null,"brand":null,"main_img":"79","mass_img":"0","short_description":null,"full_description":null,"price":null,"amount":null,"created_at":"2020-12-21 22:14:25","updated_at":"2020-12-21 22:14:25"} [] []
